Designator,Mid X,Mid Y,Rotation,Layer
D1,20.05,-25.0,0.0,top
D2,44.95,-25.0,0.0,top
D3,14.0,-52.0125,90.0,top
D4,19.9875,-19.0,180.0,top
D5,44.4875,-19.0,180.0,top
J1,32.5,-3.5,270.0,bottom
J2,6.875,-41.6,0.0,top
J3,39.62,-53.5,0.0,top
J4,3.5,-12.5,270.0,top
J5,63.0,-15.71,0.0,top
K1,30.46,-29.92,0.0,top
K2,55.46,-29.92,0.0,top
Q1,7.0,-25.25,90.0,top
Q2,37.0,-26.0,90.0,top
Q3,62.0,-26.0,90.0,top
R1,37.0,-21.95,0.0,top
R2,22.55,-38.0,0.0,top
R3,61.95,-22.0,0.0,top
R4,47.55,-38.0,0.0,top
R5,17.0,-38.0,180.0,top
R6,42.0,-38.0,180.0,top
R7,18.0,-52.0,90.0,top
R8,19.95,-16.0,0.0,top
R9,44.5,-15.75,0.0,top
U1,20.19,-32.27,180.0,top
U2,45.19,-32.23,180.0,top
